directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
9963,4685273,1,1,1,BOGOTA,8,3,1,58,1,1,6,5,1,21,72,4,56,1,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,880000,281.541577612426,11,281.541577612426,282,7,0,1,1,1,0,1,0,68,1,0,1,1,1,3364,13.6876771864544,0,0,4624,314432
5356,4607717,1,1,1,BOGOTA,4,5,0,45,1,1,6,11,1,6,12,1,66,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+07,0,0,0,0,0,0,1e+07,1e+07,368.483050780479,11,368.483050780479,368,7,0,1,1,1,0,1,0,66,1,0,0,0,5,2025,16.1180956509583,1,45,4356,287496
6506,4627470,1,2,1,BOGOTA,5,3,1,38,5,1,3,5,1,95,12,1,50,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,973211,0,0,0,0,0,0,973211,973211,252.695585542659,11,252.695585542659,253,4,0,1,1,1,0,1,0,50,1,0,0,0,5,1444,13.7883561927458,0,0,2500,125000
8540,4660959,1,1,1,BOGOTA,7,3,0,54,1,1,6,2,1,3,60,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1059044.33333333,0,0,0,0,0,0,1059044.33333333,1059044.33333333,252.576541557243,11,252.576541557243,253,7,0,1,1,1,0,1,0,48,1,0,0,0,5,2916,13.8728774871004,1,54,2304,110592
6710,4632118,1,2,1,BOGOTA,5,1,0,55,2,1,3,2,6,55,5,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,1e+06,1,869453,0,0,0,0,0,0,869453,869453,232.460305636127,11,232.460305636127,232,3,0,1,1,1,0,1,0,48,1,0,0,0,5,3025,13.6756195572614,1,55,2304,110592
3071,4568436,1,3,1,BOGOTA,3,2,1,23,3,1,6,2,1,97,5,1,48,6,1,2,0,2,2,0,0,0,1,0,0,0,0,0,4e+05,1,781242,0,0,0,0,0,0,781242,1171242,179.159731137411,11,179.159731137411,179,7,0,1,1,1,0,1,0,48,1,0,0,0,4,529,13.9735752822019,0,0,2304,110592
14207,4760929,1,2,1,BOGOTA,11,2,0,39,2,1,5,11,1,53,24,1,48,8,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,992744.666666667,0,0,0,0,0,0,992744.666666667,992744.666666667,249.653017177419,11,249.653017177419,250,6,1,1,1,1,0,1,0,48,1,0,0,0,5,1521,13.8082287766967,1,39,2304,110592
6134,4620873,1,1,1,BOGOTA,5,2,0,65,1,1,4,9,4,54,2,3,16,1,2,2,0,1,1,0,687492,0,2,0,0,0,0,0,0,1,3e+05,0,0,687492,0,0,0,1107492,1107492,236.813836388423,11,236.813836388423,237,5,0,2,1,1,0,1,0,16,0,1,0,1,1,4225,13.917608557399,1,65,256,4096
15388,4782319,1,3,1,BOGOTA,12,2,1,26,3,1,5,11,1,38,4,1,46,9,1,2,0,2,2,0,0,0,1,0,0,0,0,5e+05,5e+05,1,969453,0,0,0,0,0,0,969453,969453,226.253111652546,11,226.253111652546,226,6,1,1,1,1,0,1,0,46,1,0,0,0,5,676,13.7844872738925,0,0,2116,97336
8043,4655179,1,1,1,BOGOTA,6,2,1,30,1,1,6,5,1,11,1,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1150000,0,0,0,0,0,0,1150000,1150000,240.114439658504,11,240.114439658504,240,7,0,1,1,1,0,1,0,48,1,0,0,0,5,900,13.9552725003394,0,0,2304,110592
