directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
26,4514360,1,2,1,BOGOTA,1,2,1,47,2,1,5,11,1,98,204,4,70,1,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1300000,0,0,0,0,0,0,1300000,1300000,254.121161167727,11,254.121161167727,254,6,1,1,1,1,0,1,0,70,1,0,1,1,1,2209,14.0778748224318,0,0,4900,343000
28,4514361,1,2,1,BOGOTA,1,2,0,31,3,1,5,11,1,97,24,1,48,5,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,826883.666666667,0,0,0,0,0,0,826883.666666667,826883.666666667,288.196672672141,11,288.196672672141,288,6,1,1,1,1,0,1,0,48,1,0,0,0,4,961,13.625419295026,1,31,2304,110592
29,4514361,1,3,1,BOGOTA,1,2,1,36,9,1,4,8,1,98,156,1,48,5,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,825800.333333333,0,0,0,0,0,0,825800.333333333,825800.333333333,288.196672672141,11,288.196672672141,288,5,0,1,1,1,0,1,0,48,1,0,0,0,4,1296,13.624108296083,0,0,2304,110592
32,4514364,1,1,1,BOGOTA,1,2,1,45,1,1,3,5,1,98,70,1,45,4,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,1500000,1500000,330.763285242449,11,330.763285242449,331,4,0,1,1,1,0,1,0,45,1,0,0,0,3,2025,14.2209756660724,0,0,2025,91125
33,4514364,1,3,1,BOGOTA,1,2,1,20,3,1,6,2,1,95,4,1,60,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,786000,0,0,0,0,0,0,786000,786000,330.763285242449,11,330.763285242449,331,7,0,1,1,1,0,1,0,60,1,0,0,0,5,400,13.5747120714113,0,0,3600,216000
34,4514365,1,1,1,BOGOTA,1,2,1,49,1,1,5,11,1,58,36,1,48,5,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1283140,0,0,0,0,0,0,1283140,1283140,263.1506421975,11,263.1506421975,263,6,1,1,1,1,0,1,0,48,1,0,0,0,4,2401,14.0648207568965,0,0,2304,110592
37,4514368,1,2,1,BOGOTA,1,2,1,27,3,1,6,1,1,33,12,1,42,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1333140,0,0,0,0,0,0,1333140,1333140,254.687742271476,11,254.687742271476,255,7,0,1,1,1,0,1,0,42,1,0,0,0,5,729,14.1030476199025,0,0,1764,74088
40,4514369,1,2,1,BOGOTA,1,2,1,55,2,1,4,9,1,83,360,4,48,1,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1800000,0,0,0,0,0,0,1800000,1800000,131.653021505745,11,131.653021505745,132,5,0,1,1,1,0,1,0,48,1,0,1,1,1,3025,14.4032972228664,0,0,2304,110592
41,4514370,2,2,1,BOGOTA,1,3,1,21,5,1,6,4,6,42,1,1,15,4,2,2,0,1,2,0,0,0,2,0,0,0,0,0,0,1,350000,0,0,0,0,0,0,350000,350000,234.707409371681,11,234.707409371681,235,7,0,2,1,1,0,1,0,15,0,1,0,0,3,441,12.7656884334656,0,0,225,3375
42,4514371,1,1,1,BOGOTA,1,2,1,29,1,1,5,11,1,55,18,1,48,2,2,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,820857,0,0,0,0,0,0,820857,820857,263.1506421975,11,263.1506421975,263,6,1,2,1,1,0,1,0,48,0,1,0,1,2,841,13.6181041954319,0,0,2304,110592
