ingtot,sex,age,logIng,female,fitValues,age2,numfem,agefem,oficio
916666.666666667,1,38,13.7284991809746,0,14.0231906565723,1444,0,0,98
1500000,1,39,14.2209756660724,0,14.0231906565723,1521,0,0,79
5287500,1,36,15.4808561023367,0,14.0231906565723,1296,0,0,8
650000,1,20,13.3847276418718,0,14.0231906565723,400,0,0,98
1300000,1,47,14.0778748224318,0,14.0231906565723,2209,0,0,98
3e+05,0,49,12.6115377536383,1,13.8202984369853,2401,1,49,41
1.8e+07,0,53,16.7058823158604,1,13.8202984369853,2809,1,53,6
1500000,0,27,14.2209756660724,1,13.8202984369853,729,1,27,16
820857,1,22,13.6181041954319,0,14.0231906565723,484,0,0,39
150000,0,50,11.9183905730784,1,13.8202984369853,2500,1,50,92
820857,1,46,13.6181041954319,0,14.0231906565723,2116,0,0,95
8e+05,1,42,13.5923670066501,0,14.0231906565723,1764,0,0,51
849857,0,27,13.6528233790192,1,13.8202984369853,729,1,27,79
1226473.33333333,0,52,14.0196534003598,1,13.8202984369853,2704,1,52,59
90000,1,64,11.4075649493124,0,14.0231906565723,4096,0,0,45
550000,0,55,13.2176735572087,1,13.8202984369853,3025,1,55,54
1300000,1,37,14.0778748224318,0,14.0231906565723,1369,0,0,19
1450000,0,46,14.1870741143968,1,13.8202984369853,2116,1,46,54
833333.333333333,1,63,13.6331890011703,0,14.0231906565723,3969,0,0,83
750000,0,49,13.5278284855125,1,13.8202984369853,2401,1,49,54
850000,1,22,13.6529916284665,0,14.0231906565723,484,0,0,59
1155000,1,44,13.959610901938,0,14.0231906565723,1936,0,0,36
850023.666666667,1,23,13.6530194712161,0,14.0231906565723,529,0,0,39
7e+05,1,28,13.4588356140255,0,14.0231906565723,784,0,0,39
820857,1,41,13.6181041954319,0,14.0231906565723,1681,0,0,58
1087140,1,45,13.8990609526582,0,14.0231906565723,2025,0,0,98
1025640,0,44,13.8408273659481,1,13.8202984369853,1936,1,44,32
1266666.66666667,1,40,14.0518993360285,0,14.0231906565723,1600,0,0,21
1132300,0,34,13.9397615203021,1,13.8202984369853,1156,1,34,3
866690.333333333,1,26,13.6724370216431,0,14.0231906565723,676,0,0,33
941357,0,23,13.7550777302542,1,13.8202984369853,529,1,23,55
950000,1,44,13.7642172635767,0,14.0231906565723,1936,0,0,51
9e+05,0,20,13.7101500423064,1,13.8202984369853,400,1,20,45
911333.416666667,1,44,13.722664099039,0,14.0231906565723,1936,0,0,45
9e+05,1,20,13.7101500423064,0,14.0231906565723,400,0,0,45
1316473.33333333,1,21,14.0904670019848,0,14.0231906565723,441,0,0,92
1183333,1,22,13.9838455910933,0,14.0231906565723,484,0,0,45
1037140,1,29,13.8519774829209,0,14.0231906565723,841,0,0,98
2800000,1,24,14.8451299751454,0,14.0231906565723,576,0,0,5
5e+05,0,38,13.1223633774043,1,13.8202984369853,1444,1,38,51
8e+05,1,43,13.5923670066501,0,14.0231906565723,1849,0,0,37
1e+06,1,32,13.8155105579643,0,14.0231906565723,1024,0,0,45
776666.666666667,0,44,13.5627665368738,1,13.8202984369853,1936,1,44,45
1095690.33333333,0,51,13.9068951639883,1,13.8202984369853,2601,1,51,54
160000,0,19,11.982929094216,1,13.8202984369853,361,1,19,53
1286473.33333333,0,38,14.0674151824155,1,13.8202984369853,1444,1,38,53
754383.666666667,1,43,13.533656359307,0,14.0231906565723,1849,0,0,87
1070857,1,54,13.8839698204406,0,14.0231906565723,2916,0,0,98
1650000,0,67,14.3162858458768,1,13.8202984369853,4489,1,67,79
737717,1,21,13.5113155612049,0,14.0231906565723,441,0,0,56
1032333.41666667,0,43,13.8473322510105,1,13.8202984369853,1849,1,43,54
1419453,0,23,14.1657821440969,1,13.8202984369853,529,1,23,33
1300000,0,43,14.0778748224318,1,13.8202984369853,1849,1,43,41
3e+05,0,37,12.6115377536383,1,13.8202984369853,1369,1,37,45
240000,0,24,12.3883942023241,1,13.8202984369853,576,1,24,53
1e+06,1,46,13.8155105579643,0,14.0231906565723,2116,0,0,41
1080857,0,43,13.8932648029496,1,13.8202984369853,1849,1,43,55
1820333.41666667,1,43,14.4145302382453,0,14.0231906565723,1849,0,0,33
8e+05,1,33,13.5923670066501,0,14.0231906565723,1089,0,0,95
3075000,0,32,14.9388154592228,1,13.8202984369853,1024,1,32,6
1152333,1,33,13.9572991409675,0,14.0231906565723,1089,0,0,53
2117140,1,52,14.5655766792483,0,14.0231906565723,2704,0,0,98
1166473.33333333,0,23,13.9694955097737,1,13.8202984369853,529,1,23,33
1389193.41666667,1,35,14.1442338609024,0,14.0231906565723,1225,0,0,98
911333.416666667,0,23,13.722664099039,1,13.8202984369853,529,1,23,55
8e+05,0,21,13.5923670066501,1,13.8202984369853,441,1,21,59
1441333.41666667,0,41,14.18107922689,1,13.8202984369853,1681,1,41,59
882333.416666667,1,54,13.6903252869877,0,14.0231906565723,2916,0,0,97
2166666.66666667,1,23,14.5887004461978,0,14.0231906565723,529,0,0,42
4600000,1,27,15.3415668614593,0,14.0231906565723,729,0,0,2
1350000,1,57,14.1156151504146,0,14.0231906565723,3249,0,0,45
660000,0,35,13.3999951140026,1,13.8202984369853,1225,1,35,87
1e+07,0,33,16.1180956509583,1,13.8202984369853,1089,1,33,6
6e+05,1,63,13.3046849341983,0,14.0231906565723,3969,0,0,98
2e+07,1,41,16.8112428315183,0,14.0231906565723,1681,0,0,21
8750000,0,38,15.9845642583338,1,13.8202984369853,1444,1,38,30
5800000,1,28,15.5733684755166,0,14.0231906565723,784,0,0,58
2163000,1,45,14.5870067049352,0,14.0231906565723,2025,0,0,13
6437500,1,60,15.6776508239541,0,14.0231906565723,3600,0,0,21
9e+05,0,49,13.7101500423064,1,13.8202984369853,2401,1,49,54
2400000,1,54,14.6909792953182,0,14.0231906565723,2916,0,0,3
1383140,1,27,14.1398668347354,0,14.0231906565723,729,0,0,2
737717,1,47,13.5113155612049,0,14.0231906565723,2209,0,0,93
1150000,0,24,13.9552725003394,1,13.8202984369853,576,1,24,19
9e+05,1,62,13.7101500423064,0,14.0231906565723,3844,0,0,81
1120000,1,44,13.9288392432713,0,14.0231906565723,1936,0,0,98
2708333.33333333,1,42,14.811843997512,0,14.0231906565723,1764,0,0,21
1232333.41666667,1,63,14.0244200168731,0,14.0231906565723,3969,0,0,58
1166473.33333333,0,33,13.9694955097737,1,13.8202984369853,1089,1,33,11
7500000,1,34,15.8304135785065,0,14.0231906565723,1156,0,0,8
3800000,0,34,15.1505116246966,1,13.8202984369853,1156,1,34,8
1154383.66666667,0,50,13.9590771375776,1,13.8202984369853,2500,1,50,53
1083333.33333333,0,30,13.8955532656378,1,13.8202984369853,900,1,30,13
1207423.66666667,1,40,14.0039994464996,0,14.0231906565723,1600,0,0,98
671373.333333333,0,34,13.4170806447371,1,13.8202984369853,1156,1,34,32
6e+05,0,46,13.3046849341983,1,13.8202984369853,2116,1,46,55
920000,1,23,13.7321289490252,0,14.0231906565723,529,0,0,85
882333.416666667,0,23,13.6903252869877,1,13.8202984369853,529,1,23,37
2150000,0,38,14.5809784001038,1,13.8202984369853,1444,1,38,44
3e+05,0,54,12.6115377536383,1,13.8202984369853,2916,1,54,45
4e+05,0,37,12.8992198260901,1,13.8202984369853,1369,1,37,45
9e+05,1,47,13.7101500423064,0,14.0231906565723,2209,0,0,99
4e+05,0,45,12.8992198260901,1,13.8202984369853,2025,1,45,54
1e+06,1,23,13.8155105579643,0,14.0231906565723,529,0,0,98
1e+06,1,37,13.8155105579643,0,14.0231906565723,1369,0,0,81
937500,0,40,13.7509720368267,1,13.8202984369853,1600,1,40,79
7e+06,1,40,15.7614207070196,0,14.0231906565723,1600,0,0,2
9283333.33333333,0,37,16.0437312356695,1,13.8202984369853,1369,1,37,2
975000,0,41,13.79019274998,1,13.8202984369853,1681,1,41,39
1200000,0,33,13.9978321147582,1,13.8202984369853,1089,1,33,51
1662500,0,26,14.3238330515121,1,13.8202984369853,676,1,26,53
2845666.66666667,1,29,14.8613079273243,0,14.0231906565723,841,0,0,21
1279000,0,28,14.061589080561,1,13.8202984369853,784,1,28,21
7e+05,0,52,13.4588356140255,1,13.8202984369853,2704,1,52,45
1669806.66666667,1,30,14.3282184092282,0,14.0231906565723,900,0,0,45
2200000,0,28,14.6039679183285,1,13.8202984369853,784,1,28,21
480000,0,36,13.0815413828841,1,13.8202984369853,1296,1,36,55
450000,1,37,13.0170028617465,0,14.0231906565723,1369,0,0,99
536000,0,55,13.1918894400529,1,13.8202984369853,3025,1,55,55
912523.666666667,1,28,13.7239693001755,0,14.0231906565723,784,0,0,97
882523.666666667,0,22,13.6905408851826,1,13.8202984369853,484,1,22,59
1244473.33333333,1,25,14.0342229729454,0,14.0231906565723,625,0,0,39
7e+05,0,23,13.4588356140255,1,13.8202984369853,529,1,23,38
10008333.3333333,1,59,16.1189286372622,0,14.0231906565723,3481,0,0,12
1600000,1,25,14.28551418721,0,14.0231906565723,625,0,0,39
7786666.66666667,0,54,15.8679234272562,1,13.8202984369853,2916,1,54,11
2400000,1,67,14.6909792953182,0,14.0231906565723,4489,0,0,98
1653000,0,36,14.3181023768032,1,13.8202984369853,1296,1,36,11
2226667,1,41,14.6160164065453,0,14.0231906565723,1681,0,0,21
764383.666666667,0,48,13.5468251235986,1,13.8202984369853,2304,1,48,39
1500000,0,52,14.2209756660724,1,13.8202984369853,2704,1,52,53
1188344,1,40,13.9880712992792,0,14.0231906565723,1600,0,0,8
1300000,1,55,14.0778748224318,0,14.0231906565723,3025,0,0,53
1e+06,0,50,13.8155105579643,1,13.8202984369853,2500,1,50,53
8e+05,1,28,13.5923670066501,0,14.0231906565723,784,0,0,13
1200000,1,24,13.9978321147582,0,14.0231906565723,576,0,0,3
1200000,1,21,13.9978321147582,0,14.0231906565723,441,0,0,53
882523.666666667,0,60,13.6905408851826,1,13.8202984369853,3600,1,60,55
4500000,1,50,15.3195879547405,0,14.0231906565723,2500,0,0,58
8e+06,0,48,15.8949520996441,1,13.8202984369853,2304,1,48,2
1300000,1,54,14.0778748224318,0,14.0231906565723,2916,0,0,98
5058333,1,39,15.4365475403439,0,14.0231906565723,1521,0,0,2
3450000,0,36,15.0538847890075,1,13.8202984369853,1296,1,36,19
3033333.33333333,1,38,14.925172682819,0,14.0231906565723,1444,0,0,11
3033333.33333333,0,32,14.925172682819,1,13.8202984369853,1024,1,32,6
1050000,0,59,13.8643007221337,1,13.8202984369853,3481,1,59,53
3e+05,0,29,12.6115377536383,1,13.8202984369853,841,1,29,80
1050000,1,56,13.8643007221337,0,14.0231906565723,3136,0,0,59
48000,0,61,10.77895628989,1,13.8202984369853,3721,1,61,45
1783333,0,57,14.3939946432882,1,13.8202984369853,3249,1,57,39
1333140,0,23,14.1030476199025,1,13.8202984369853,529,1,23,13
4e+05,1,62,12.8992198260901,0,14.0231906565723,3844,0,0,59
1067193.41666667,0,31,13.8805427853339,1,13.8202984369853,961,1,31,53
837717,0,21,13.6384356135972,1,13.8202984369853,441,1,21,45
4e+06,1,60,15.2018049190842,0,14.0231906565723,3600,0,0,98
829217,0,35,13.628237161022,1,13.8202984369853,1225,1,35,97
3981667,0,57,15.197211133791,1,13.8202984369853,3249,1,57,13
2e+06,1,75,14.5086577385242,0,14.0231906565723,5625,0,0,44
3642500,1,37,15.1081808170515,0,14.0231906565723,1369,0,0,12
1700000,0,40,14.3461388090264,1,13.8202984369853,1600,1,40,39
812500,1,35,13.607871193186,0,14.0231906565723,1225,0,0,51
1090000,1,28,13.9016882542053,0,14.0231906565723,784,0,0,84
2e+06,0,35,14.5086577385242,1,13.8202984369853,1225,1,35,12
1580000,1,45,14.2729354050031,0,14.0231906565723,2025,0,0,58
8e+05,0,45,13.5923670066501,1,13.8202984369853,2025,1,45,55
384000,1,19,12.8583978315699,0,14.0231906565723,361,0,0,33
2300000,1,49,14.6484196808994,0,14.0231906565723,2401,0,0,2
820857,0,40,13.6181041954319,1,13.8202984369853,1600,1,40,3
1e+06,0,37,13.8155105579643,1,13.8202984369853,1369,1,37,17
1023140,1,47,13.8383868879652,0,14.0231906565723,2209,0,0,97
1800000,0,43,14.4032972228664,1,13.8202984369853,1849,1,43,45
10816667,1,55,16.1965987432629,0,14.0231906565723,3025,0,0,12
1800000,0,48,14.4032972228664,1,13.8202984369853,2304,1,48,21
750000,0,48,13.5278284855125,1,13.8202984369853,2304,1,48,45
9e+05,0,56,13.7101500423064,1,13.8202984369853,3136,1,56,45
2708333.33333333,0,35,14.811843997512,1,13.8202984369853,1225,1,35,77
1497000,1,38,14.2189736634018,0,14.0231906565723,1444,0,0,58
3924166.66666667,1,53,15.1826645724317,0,14.0231906565723,2809,0,0,12
3e+06,1,56,14.9141228466324,0,14.0231906565723,3136,0,0,84
1500000,1,56,14.2209756660724,0,14.0231906565723,3136,0,0,85
737717,0,58,13.5113155612049,1,13.8202984369853,3364,1,58,54
803140,1,66,13.5962843239341,0,14.0231906565723,4356,0,0,58
1e+07,1,50,16.1180956509583,0,14.0231906565723,2500,0,0,21
2925000,0,51,14.8888050386481,1,13.8202984369853,2601,1,51,33
250000,0,29,12.4292161968444,1,13.8202984369853,841,1,29,45
1e+06,1,20,13.8155105579643,0,14.0231906565723,400,0,0,59
196000,1,62,12.1858699382127,0,14.0231906565723,3844,0,0,79
224000,0,57,12.3194013308372,1,13.8202984369853,3249,1,57,54
440000,0,28,12.9945300058944,1,13.8202984369853,784,1,28,80
2500000,1,54,14.7318012898384,0,14.0231906565723,2916,0,0,93
3216666.66666667,0,32,14.9838561846471,1,13.8202984369853,1024,1,32,13
2500000,0,43,14.7318012898384,1,13.8202984369853,1849,1,43,41
3e+05,1,23,12.6115377536383,0,14.0231906565723,529,0,0,45
3e+05,0,22,12.6115377536383,1,13.8202984369853,484,1,22,45
3e+05,0,19,12.6115377536383,1,13.8202984369853,361,1,19,45
1e+06,1,26,13.8155105579643,0,14.0231906565723,676,0,0,95
920857,0,36,13.7330600371672,1,13.8202984369853,1296,1,36,54
180000,0,64,12.1007121298723,1,13.8202984369853,4096,1,64,45
820857,1,37,13.6181041954319,0,14.0231906565723,1369,0,0,95
60000,1,58,11.0020998412042,0,14.0231906565723,3364,0,0,41
1300000,1,25,14.0778748224318,0,14.0231906565723,625,0,0,84
3e+05,0,28,12.6115377536383,1,13.8202984369853,784,1,28,39
1200000,1,50,13.9978321147582,0,14.0231906565723,2500,0,0,93
8e+05,0,55,13.5923670066501,1,13.8202984369853,3025,1,55,55
8e+05,1,27,13.5923670066501,0,14.0231906565723,729,0,0,33
