RMSE_DentroMuestra,RMSE_FueraMuestra
Modelos_C_1,1.04708926898685,1.15576492131202
Modelos_C_2,1.08264459421991,1.19122628884471
Modelos_C_3,1.14638715571178,1.23966835706381
Modelos_C_4,1.04295834591973,1.12834796665255
Modelos_C_5,1.13236682726234,1.22069357992452
